(Do Not Modify) Workplans,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Domain,Programme,Programme Element,Programme Component,Activity Code,Activity Name,Activity Description,Programme Legal,Decimal Associated Costs Percentage
714095e2-490e-f011-998b-6045bddd5948,sSbFYxbGj2boYMoj3aNKnx8Mup9GG+IsJnFOknCoI2xlpK5RizRqd01ZeB5lmVwZQn3jVinzojr8BRav2KMWWA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,Prepare 4 Space,SU1-P4S-01,P4S Belgium 2024-2027,SU1-P4S-01 P4S Belgium 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
734095e2-490e-f011-998b-6045bddd5948,woKKIYVEoXz1AWENz/+7vZ9sYlrUX426acQ3ZK5KJmzAgQNBFKT18jtYjTpzB1rLjFTTlD4/NB/gPcmrbBjNuA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,Prepare 4 Space,SU1-P4S-02,P4S Austria,SU1-P4S-02 P4S Austria,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
754095e2-490e-f011-998b-6045bddd5948,mXmF2FYCo7W85+yv/ZG6T3S9y8UqQIV25eRDVJFUOidbHn493F5Y2zlnslczBR67VLTzE72kZNOxxCTJNBXyhA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,Prepare 4 Space,SU1-P4S-03,P4S Spain 2024-2027,SU1-P4S-03 P4S Spain 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
774095e2-490e-f011-998b-6045bddd5948,V9/R1QxKGuq47hwXZACl8Qxi/ScSwmxfSE2hj1fN/B7LWdq8j/KtbqUmx40i12bUH1hrRYy8x33AbsEw1nSTpg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,Prepare 4 Space,SU1-P4S-04,P4S UK 2024-2025,SU1-P4S-04 P4S UK 2024-2025,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
794095e2-490e-f011-998b-6045bddd5948,22ytF8+pKStBqj9/QdLckY/fA0rBDnnrTTYUH/nXv/eoQ54X43ch+/sA8S3p6lQJaN127YC2syMSqbu84XhfcA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,Prepare 4 Space,SU1-P4S-05,P4S Portugal,SU1-P4S-05 P4S Portugal,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
7b4095e2-490e-f011-998b-6045bddd5948,zTqnLWUHdJRq1Hn89Qg62O40Cjau52kqeIYWkMU0B2yMSqIt8WUFlZfYyEdye1wVMU0iKKn3mNHAp/mhlbi1sw==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-01,PHINet Austria 2024-2027,SU1-PHI-01 PHINet Austria 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
7d4095e2-490e-f011-998b-6045bddd5948,IfWDKd7CPcuO8zjuFUXYr6FtyRtl0l7rPrKoGjK6UTkvGe6QXUY0FCWtMQvq39xDG0LSH2AIoq5pVODzfK6xEQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-02,PHINet Switzerland,SU1-PHI-02 PHINet Switzerland,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
7f4095e2-490e-f011-998b-6045bddd5948,vgdPSJL5DbET4bDY+dV1GmtT2Mpcz1ldIahqQ28VpcsKYg0A5+9VdvPye+An7Vzd/ePGygo1M11d6lQ526KsxQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-03,PHINet Germany,,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
814095e2-490e-f011-998b-6045bddd5948,zyd4c9yuAotT1KjmeZfU80msPxb7n8AmSUiWrp3Y7/fBx9j/KJhzc34wijGAhZqpIi0zvnyPW7vrr34ptgA0/Q==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-04,PHINet Spain,SU1-PHI-04 PHINet Spain,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
834095e2-490e-f011-998b-6045bddd5948,BWh4bMOHv3o4IThqLPGzgitlwGeDUWJGmJBDxQKpRTSSU9zqKk8ekLbcrL18AcH9aaLXaf2dF88li6maEhFSQg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-05,PHINet Finland 2024-2027,SU1-PHI-05 PHINet Finland 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
854095e2-490e-f011-998b-6045bddd5948,ZmQtKUy6oK8x4Xbj1bgg1adhRqjr6g+YA66WpGzNJrCJ67abkLB0Vwfu6FDBW1QbqSLf+D5cbfWINc0LbkmEVg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-06,PHINet Ireland,SU1-PHI-06 PHINet Ireland,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
874095e2-490e-f011-998b-6045bddd5948,DYgbZvOdBzkI/xqsypiQbM73WjUIc0vuWJEuFzVZ2aZiSK6PauNxJxSM+Naf2PH82gBrBmZwXYLwxndDttYGkg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-07,PHINet Netherlands,SU1-PHI-07 PHINet Netherlands,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
894095e2-490e-f011-998b-6045bddd5948,I6MjYhaqRbF5yOi2rMrO+eNP50FCW63HmFPWCAcNgx/SC8c+rjIcsUtCIyKT0TDb9C/ZA5N/codmbttXeeHqRA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-08,PHINet Norway 2024-2027,SU1-PHI-08 PHINet Norway 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
8b4095e2-490e-f011-998b-6045bddd5948,dcuRF/f2NYSX+/Oo9mPd03GtQbtlaZ8bwhfe0AQUdY/iZq5mN7MAa5aYs4O+/j+ygM8tXSFJIz/C81B9fHzj7w==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-09,PHINet Sweden 2024-2027,SU1-PHI-09 PHINet Sweden 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
8d4095e2-490e-f011-998b-6045bddd5948,WE53y5n9pq1O+7CexWQwgTzisbapu1zMKo+4ohNSiRdGtLazdl1g0BsUrro5p4L4Knh3yTEC4YDiCtrp7Xv6Ew==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-10,PHINet UK,SU1-PHI-10 PHINet UK,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
8f4095e2-490e-f011-998b-6045bddd5948,fbyX0QzlLf+zSTAz7k2DNiizeSjbonBZRP4fVqZMHnVn/ZoVCwBUSwHiMfSeuDQPJTZcrSWvJuAMRR8XHh+jgg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-11,PHINet France,SU1-PHI-11 PHINet France,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
914095e2-490e-f011-998b-6045bddd5948,MxfHn1QN5ZNRRtG0RxYwadgyb0E6Tktz92NnlMUDCv9gAykHo5UcnAve5ZJduKUs/WSVlCZJivZ9+Mp/lVFSkQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-12,PHINet Poland,SU1-PHI-12 PHINet Poland,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
934095e2-490e-f011-998b-6045bddd5948,6J3UNpZVy334zLYCWinofV3mA9fzAO/AQT/CG7zimL6x/t7Xf0WlGnYOfdn8putJeE/6+Y/mSh7CF7MpKLuFkw==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,PhiLabs,SU1-PHI-13,PHINet Switzerland top-up,SU1-PHI-13 PHINet Switzerland top-up,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
954095e2-490e-f011-998b-6045bddd5948,Lusn2UiH3k+cYO8R5+UGYUZtxV7XaErvE3A923o+xg7tPW/ztSHaBbSto/+2HpUcVsNFExOlUkDMUiFe/vUzSg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-01,TT Austria 2024-2027,SU1-TT-01 TT Austria 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
974095e2-490e-f011-998b-6045bddd5948,4xFKVsh+bShkGl/X4v+aDdE2jIOipwYBECBC1jK3w20lY/rCrQ9ZXBZG/99bBLz/MVhxLdQldK28AaPUD0tMZg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-02,TT Belgium 2024-2027,SU1-TT-02 TT Belgium 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
994095e2-490e-f011-998b-6045bddd5948,9N0oXQdIhy5be3URZPM9kIqsivHqC7kKChGytra4NppSkT8yzpz3rgIpHpJ6CFHPdzzO991FR+ju/TpI//FDqg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-03,TT Czech Republic (CCN),SU1-TT-03 TT Czech Republic (CCN),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
9b4095e2-490e-f011-998b-6045bddd5948,NlgtR61nBMDRJxLkkZVJDczHuW6xSwEsdJaSHPunx5m0o6y3ldSF82gijpzt/Oim9NEuRTKxqUKCb5t7cg+www==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-04,TT Luxembourg 2024-2027,SU1-TT-04 TT Luxembourg 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
9d4095e2-490e-f011-998b-6045bddd5948,As68qRpKqt2Yi60/vfgjAOHrMDKwbNkQLKZd0h3BnWLQ1EwKALkgk1Sfv9xXXK1IKzdrFHQhjbSIcyjmSk2ZOw==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-05,TT Poland (CCN),SU1-TT-05 TT Poland (CCN),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
9f4095e2-490e-f011-998b-6045bddd5948,p1tC3l6uaOq6gW0lnmqZ+s8XhDaSzmGJEXlgDHQrTEtqGL4ybjNmXJzwzbBLlkNMLIK9ZDCtLMdGWYEtkxcQeQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-06,TT Italy 2024-2027,SU1-TT-06 TT Italy 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
a14095e2-490e-f011-998b-6045bddd5948,NxjXpEBR5l6VOC0XFRm1NbiHQz0EKmSK+cBCpUP3gzx4h5Fn/g8yNobb5yWAz718+/XR3kazlZFYnmhbIeFRNA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-07,TT Spain 2024-2027,SU1-TT-07 TT Spain 2024-2027,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
a34095e2-490e-f011-998b-6045bddd5948,31oV27h2MWWFUD+FZmSjsJlGQA/CeozJL3GwSmRaO/b2e3kjAk3sxFd9c+bImeiuDsfXngLbi4hBVDleR8Nrwg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-08,TT UK 2024-2025,SU1-TT-08 TT UK 2024-2025,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
a54095e2-490e-f011-998b-6045bddd5948,jtOZEOWXrhSiAfh8/xObh8THU+HFmuBlpkNr5q+Xa+e5bIeE/SnAdeEzjKsSZCTXwksBg+ZBMVqiEQoHzqGERQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-09,TT Germany (CCN),SU1-TT-09 TT Germany (CCN),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
a74095e2-490e-f011-998b-6045bddd5948,EmrHY8Is3EieYdFlbVHQLzPPO+Bqb28wSJDlTQs1mLzruxygo2OkrsXiTmDQNQrNFBLWFm6PMdE1mxXzEh7ncw==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-10,TT Netherlands,SU1-TT-10 TT Netherlands,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
a94095e2-490e-f011-998b-6045bddd5948,S5DqI9EAKqAF3lHUiPV6uMwKbTg7YJiZ2yhfGcW9AsWZRPCwr23i/5bLUujXFMYLWb6M+pMC9QyEbMXOsMm+oA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-10A,TT Netherlands-Spark,SU1-TT-10A TT Netherlands-Spark,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
ab4095e2-490e-f011-998b-6045bddd5948,06R45ySuZC0YwPFleM07yb7LhHVS6FlPL6YKREK8ftFvnxA6VIt5kZQPVarFGW2PsoBuEDhDVBoRsG0urb6pyQ==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-11,TT Portugal,SU1-TT-11 TT Portugal,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
ad4095e2-490e-f011-998b-6045bddd5948,ZNpwPhd7PmCxACYqP6b6tkMOnBR72xxDMTHNPa+Mcj1ySXAeW4QsbeUzjhbYk2OKYHL7VN5zs1avtlzK4MUXGg==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-12,TT Germany 2026 -2029,SU1-TT-12 TT Germany 2026 -2029,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
af4095e2-490e-f011-998b-6045bddd5948,2z7VqIEtPwA9L7hsJ3/0vZuoKwHyRLZqe7QFia5Xk91Uv1lQD23FHZAGMIFIg1+RXhhFq7ZJX3JEzl4fDWjhmA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-13,TT Denmark,SU1-TT-13 TT Denmark,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
b14095e2-490e-f011-998b-6045bddd5948,YydnFOg7hVVXTUul/WaMrw04EfpRCEEdIZv2aHDa3uC89WbC7zEmm6hJjy4sj0aiDdjALJ/J6QSuzK8/z2XhMA==,31/03/2025 16:05,,Commercialisation,Innovate,ScaleUp,TT,SU1-TT-13,TT Poland additional task,SU1-TT-13 TT Poland additional task,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
b34095e2-490e-f011-998b-6045bddd5948,j0tduAmCZ1sPkudTBZPV9sQgABF66rBc/ou7g8L1A30u1gS6fnVrirWW9suEn5sGiLsNyXPcOEVAGXRSzFj/bw==,31/03/2025 16:05,,domain,programme,element,component,code,activity name,descr,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
